state,county,candidate,party,total_votes,won
Nebraska,Fillmore County, Write-ins,WRI,0,False
Nebraska,Franklin County,Donald Trump,REP,1437,True
Nebraska,Franklin County,Joe Biden,DEM,276,False
Nebraska,Franklin County,Jo Jorgensen,LIB,11,False
Nebraska,Franklin County, Write-ins,WRI,0,False
Nebraska,Frontier County,Donald Trump,REP,1229,True
Nebraska,Frontier County,Joe Biden,DEM,189,False
Nebraska,Frontier County,Jo Jorgensen,LIB,22,False
Nebraska,Furnas County,Donald Trump,REP,2163,True
Nebraska,Furnas County,Joe Biden,DEM,399,False
Nebraska,Furnas County,Jo Jorgensen,LIB,39,False
Nebraska,Gage County,Donald Trump,REP,7445,True
Nebraska,Gage County,Joe Biden,DEM,3385,False
Nebraska,Gage County,Jo Jorgensen,LIB,238,False
Nebraska,Gage County, Write-ins,WRI,0,False
Nebraska,Garden County,Donald Trump,REP,1016,True
Nebraska,Garden County,Joe Biden,DEM,161,False
Nebraska,Garden County,Jo Jorgensen,LIB,18,False
Nebraska,Garfield County,Donald Trump,REP,933,True
Nebraska,Garfield County,Joe Biden,DEM,133,False
Nebraska,Garfield County,Jo Jorgensen,LIB,9,False
Nebraska,Gosper County,Donald Trump,REP,893,True
Nebraska,Gosper County,Joe Biden,DEM,215,False
Nebraska,Gosper County,Jo Jorgensen,LIB,10,False
Nebraska,Grant County,Donald Trump,REP,375,True
Nebraska,Grant County,Joe Biden,DEM,20,False
Nebraska,Grant County,Jo Jorgensen,LIB,7,False
Nebraska,Greeley County,Donald Trump,REP,1016,True
Nebraska,Greeley County,Joe Biden,DEM,229,False
Nebraska,Greeley County,Jo Jorgensen,LIB,13,False
Nebraska,Greeley County, Write-ins,WRI,0,False
Nebraska,Hall County,Donald Trump,REP,16189,True
Nebraska,Hall County,Joe Biden,DEM,7681,False
Nebraska,Hall County,Jo Jorgensen,LIB,504,False
Nebraska,Hall County, Write-ins,WRI,0,False
Nebraska,Hamilton County,Donald Trump,REP,4309,True
Nebraska,Hamilton County,Joe Biden,DEM,1118,False
Nebraska,Hamilton County,Jo Jorgensen,LIB,106,False
Nebraska,Hamilton County, Write-ins,WRI,0,False
Nebraska,Harlan County,Donald Trump,REP,1615,True
Nebraska,Harlan County,Joe Biden,DEM,282,False
Nebraska,Harlan County,Jo Jorgensen,LIB,31,False
Nebraska,Harlan County, Write-ins,WRI,0,False
Nebraska,Hayes County,Donald Trump,REP,494,True
Nebraska,Hayes County,Joe Biden,DEM,34,False
Nebraska,Hayes County,Jo Jorgensen,LIB,6,False
Nebraska,Hitchcock County,Donald Trump,REP,1264,True
Nebraska,Hitchcock County,Joe Biden,DEM,175,False
Nebraska,Hitchcock County,Jo Jorgensen,LIB,30,False
Nebraska,Hitchcock County, Write-ins,WRI,0,False
Nebraska,Holt County,Donald Trump,REP,4769,True
Nebraska,Holt County,Joe Biden,DEM,686,False
Nebraska,Holt County,Jo Jorgensen,LIB,82,False
Nebraska,Holt County, Write-ins,WRI,0,False
Nebraska,Hooker County,Donald Trump,REP,376,True
Nebraska,Hooker County,Joe Biden,DEM,59,False
Nebraska,Hooker County,Jo Jorgensen,LIB,7,False
Nebraska,Howard County,Donald Trump,REP,2786,True
Nebraska,Howard County,Joe Biden,DEM,648,False
Nebraska,Howard County,Jo Jorgensen,LIB,67,False
Nebraska,Jefferson County,Donald Trump,REP,2616,True
Nebraska,Jefferson County,Joe Biden,DEM,1016,False
Nebraska,Jefferson County,Jo Jorgensen,LIB,84,False
Nebraska,Jefferson County, Write-ins,WRI,0,False
Nebraska,Johnson County,Donald Trump,REP,1518,True
Nebraska,Johnson County,Joe Biden,DEM,647,False
Nebraska,Johnson County,Jo Jorgensen,LIB,64,False
Nebraska,Johnson County, Write-ins,WRI,0,False
Nebraska,Kearney County,Donald Trump,REP,2822,True
Nebraska,Kearney County,Joe Biden,DEM,701,False
Nebraska,Kearney County,Jo Jorgensen,LIB,81,False
Nebraska,Kearney County, Write-ins,WRI,0,False
Nebraska,Keith County,Donald Trump,REP,3544,True
Nebraska,Keith County,Joe Biden,DEM,763,False
Nebraska,Keith County,Jo Jorgensen,LIB,57,False
Nebraska,Keith County, Write-ins,WRI,0,False
Nebraska,Keya Paha County,Donald Trump,REP,476,True
Nebraska,Keya Paha County,Joe Biden,DEM,49,False
Nebraska,Keya Paha County,Jo Jorgensen,LIB,4,False
Nebraska,Kimball County,Donald Trump,REP,1563,True
Nebraska,Kimball County,Joe Biden,DEM,268,False
Nebraska,Kimball County,Jo Jorgensen,LIB,43,False
Nebraska,Knox County,Donald Trump,REP,3721,True
Nebraska,Knox County,Joe Biden,DEM,905,False
Nebraska,Knox County,Jo Jorgensen,LIB,71,False
Nebraska,Lancaster County,Joe Biden,DEM,82293,True
Nebraska,Lancaster County,Donald Trump,REP,70092,False
Nebraska,Lancaster County,Jo Jorgensen,LIB,3706,False
Nebraska,Lancaster County, Write-ins,WRI,0,False
Nebraska,Lincoln County,Donald Trump,REP,13071,True
Nebraska,Lincoln County,Joe Biden,DEM,3692,False
Nebraska,Lincoln County,Jo Jorgensen,LIB,344,False
Nebraska,Lincoln County, Write-ins,WRI,0,False
Nebraska,Logan County,Donald Trump,REP,407,True
Nebraska,Logan County,Joe Biden,DEM,38,False
Nebraska,Logan County,Jo Jorgensen,LIB,5,False
Nebraska,Loup County,Donald Trump,REP,370,True
Nebraska,Loup County,Joe Biden,DEM,75,False
Nebraska,Loup County,Jo Jorgensen,LIB,9,False
Nebraska,McPherson County,Donald Trump,REP,275,True
Nebraska,McPherson County,Joe Biden,DEM,17,False
Nebraska,McPherson County,Jo Jorgensen,LIB,10,False
Nebraska,Madison County,Donald Trump,REP,11940,True
Nebraska,Madison County,Joe Biden,DEM,3478,False
Nebraska,Madison County,Jo Jorgensen,LIB,347,False
Nebraska,Madison County, Write-ins,WRI,0,False
Nebraska,Merrick County,Donald Trump,REP,3419,True
Nebraska,Merrick County,Joe Biden,DEM,743,False
Nebraska,Merrick County,Jo Jorgensen,LIB,95,False
Nebraska,Merrick County, Write-ins,WRI,25,False
Nebraska,Morrill County,Donald Trump,REP,2113,True
Nebraska,Morrill County,Joe Biden,DEM,386,False
Nebraska,Morrill County,Jo Jorgensen,LIB,58,False
Nebraska,Morrill County, Write-ins,WRI,1,False
Nebraska,Nance County,Donald Trump,REP,1437,True
Nebraska,Nance County,Joe Biden,DEM,359,False
Nebraska,Nance County,Jo Jorgensen,LIB,32,False
Nebraska,Nance County, Write-ins,WRI,0,False
Nebraska,Nemaha County,Donald Trump,REP,2428,True
Nebraska,Nemaha County,Joe Biden,DEM,921,False
Nebraska,Nemaha County,Jo Jorgensen,LIB,74,False
Nebraska,Nemaha County, Write-ins,WRI,0,False
Nebraska,Nuckolls County,Donald Trump,REP,1857,True
Nebraska,Nuckolls County,Joe Biden,DEM,409,False
Nebraska,Nuckolls County,Jo Jorgensen,LIB,37,False
Nebraska,Nuckolls County, Write-ins,WRI,0,False
Nebraska,Otoe County,Donald Trump,REP,5649,True
Nebraska,Otoe County,Joe Biden,DEM,2490,False
Nebraska,Otoe County,Jo Jorgensen,LIB,176,False
Nebraska,Pawnee County,Donald Trump,REP,1071,True
Nebraska,Pawnee County,Joe Biden,DEM,322,False
Nebraska,Pawnee County,Jo Jorgensen,LIB,36,False
Nebraska,Perkins County,Donald Trump,REP,1321,True
Nebraska,Perkins County,Joe Biden,DEM,199,False
Nebraska,Perkins County,Jo Jorgensen,LIB,24,False
Nebraska,Phelps County,Donald Trump,REP,4157,True
Nebraska,Phelps County,Joe Biden,DEM,752,False
Nebraska,Phelps County,Jo Jorgensen,LIB,100,False
Nebraska,Phelps County, Write-ins,WRI,0,False
Nebraska,Pierce County,Donald Trump,REP,3462,True
Nebraska,Pierce County,Joe Biden,DEM,480,False
Nebraska,Pierce County,Jo Jorgensen,LIB,64,False
Nebraska,Platte County,Donald Trump,REP,12186,True
Nebraska,Platte County,Joe Biden,DEM,3260,False
Nebraska,Platte County,Jo Jorgensen,LIB,227,False
Nebraska,Platte County, Write-ins,WRI,0,False
Nebraska,Polk County,Donald Trump,REP,2291,True
Nebraska,Polk County,Joe Biden,DEM,530,False
Nebraska,Polk County,Jo Jorgensen,LIB,58,False
Nebraska,Red Willow County,Donald Trump,REP,4525,True
Nebraska,Red Willow County,Joe Biden,DEM,811,False
Nebraska,Red Willow County,Jo Jorgensen,LIB,116,False
Nebraska,Red Willow County, Write-ins,WRI,0,False
Nebraska,Richardson County,Donald Trump,REP,3073,True
Nebraska,Richardson County,Joe Biden,DEM,996,False
Nebraska,Richardson County,Jo Jorgensen,LIB,57,False
Nebraska,Richardson County, Write-ins,WRI,0,False
Nebraska,Rock County,Donald Trump,REP,744,True
Nebraska,Rock County,Joe Biden,DEM,84,False
Nebraska,Rock County,Jo Jorgensen,LIB,13,False
Nebraska,Saline County,Donald Trump,REP,3631,True
Nebraska,Saline County,Joe Biden,DEM,1986,False
Nebraska,Saline County,Jo Jorgensen,LIB,153,False
Nebraska,Saline County, Write-ins,WRI,0,False
Nebraska,Sarpy County,Donald Trump,REP,51979,True
Nebraska,Sarpy County,Joe Biden,DEM,41206,False
Nebraska,Sarpy County,Jo Jorgensen,LIB,2488,False
Nebraska,Sarpy County, Write-ins,WRI,520,False
Nebraska,Saunders County,Donald Trump,REP,9108,True
Nebraska,Saunders County,Joe Biden,DEM,3331,False
Nebraska,Saunders County,Jo Jorgensen,LIB,296,False
Nebraska,Scotts Bluff County,Donald Trump,REP,10952,True
Nebraska,Scotts Bluff County,Joe Biden,DEM,4196,False
Nebraska,Scotts Bluff County,Jo Jorgensen,LIB,321,False
Nebraska,Scotts Bluff County, Write-ins,WRI,0,False
Nebraska,Seward County,Donald Trump,REP,6490,True
Nebraska,Seward County,Joe Biden,DEM,2438,False
Nebraska,Seward County,Jo Jorgensen,LIB,214,False
Nebraska,Sheridan County,Donald Trump,REP,2292,True
Nebraska,Sheridan County,Joe Biden,DEM,340,False
Nebraska,Sheridan County,Jo Jorgensen,LIB,40,False
Nebraska,Sheridan County, Write-ins,WRI,0,False
Nebraska,Sherman County,Donald Trump,REP,1322,True
Nebraska,Sherman County,Joe Biden,DEM,343,False
Nebraska,Sherman County,Jo Jorgensen,LIB,33,False
Nebraska,Sherman County, Write-ins,WRI,0,False
Nebraska,Sioux County,Donald Trump,REP,642,True
Nebraska,Sioux County,Joe Biden,DEM,72,False
Nebraska,Sioux County,Jo Jorgensen,LIB,15,False
Nebraska,Stanton County,Donald Trump,REP,2561,True
Nebraska,Stanton County,Joe Biden,DEM,532,False
Nebraska,Stanton County,Jo Jorgensen,LIB,68,False
Nebraska,Stanton County, Write-ins,WRI,4,False
Nebraska,Thayer County,Donald Trump,REP,2308,True
Nebraska,Thayer County,Joe Biden,DEM,624,False
Nebraska,Thayer County,Jo Jorgensen,LIB,48,False
Nebraska,Thomas County,Donald Trump,REP,377,True
Nebraska,Thomas County,Joe Biden,DEM,45,False
Nebraska,Thomas County,Jo Jorgensen,LIB,5,False
Nebraska,Thurston County,Donald Trump,REP,1180,True
Nebraska,Thurston County,Joe Biden,DEM,1122,False
Nebraska,Thurston County,Jo Jorgensen,LIB,23,False
Nebraska,Thurston County, Write-ins,WRI,0,False
Nebraska,Valley County,Donald Trump,REP,1901,True
Nebraska,Valley County,Joe Biden,DEM,412,False
Nebraska,Valley County,Jo Jorgensen,LIB,27,False
Nebraska,Washington County,Donald Trump,REP,8583,True
Nebraska,Washington County,Joe Biden,DEM,3554,False
Nebraska,Washington County,Jo Jorgensen,LIB,276,False
Nebraska,Washington County, Write-ins,WRI,0,False
Nebraska,Wayne County,Donald Trump,REP,3055,True
Nebraska,Wayne County,Joe Biden,DEM,1022,False
Nebraska,Wayne County,Jo Jorgensen,LIB,123,False
Nebraska,Wayne County, Write-ins,WRI,0,False
Nebraska,Webster County,Donald Trump,REP,1511,True
Nebraska,Webster County,Joe Biden,DEM,335,False
Nebraska,Webster County,Jo Jorgensen,LIB,30,False
Nebraska,Wheeler County,Donald Trump,REP,438,True
Nebraska,Wheeler County,Joe Biden,DEM,59,False
Nebraska,Wheeler County,Jo Jorgensen,LIB,5,False
Nebraska,York County,Donald Trump,REP,5337,True
Nebraska,York County,Joe Biden,DEM,1630,False
Nebraska,York County,Jo Jorgensen,LIB,176,False
Nebraska,York County, Write-ins,WRI,0,False
Nevada,Churchill County,Donald Trump,REP,9372,True
Nevada,Churchill County,Joe Biden,DEM,3051,False
Nevada,Churchill County,Jo Jorgensen,LIB,282,False
Nevada,Churchill County, None of these candidates,NON,150,False
Nevada,Churchill County,Don Blankenship,CST,35,False
Nevada,Clark County,Joe Biden,DEM,521852,True
Nevada,Clark County,Donald Trump,REP,430930,False
Nevada,Clark County, None of these candidates,NON,9023,False
Nevada,Clark County,Jo Jorgensen,LIB,8761,False
Nevada,Clark County,Don Blankenship,CST,1944,False
Nevada,Douglas County,Donald Trump,REP,21630,True
Nevada,Douglas County,Joe Biden,DEM,11571,False
Nevada,Douglas County, None of these candidates,NON,449,False
Nevada,Douglas County,Jo Jorgensen,LIB,407,False
Nevada,Douglas County,Don Blankenship,CST,68,False
Nevada,Elko County,Donald Trump,REP,16741,True
Nevada,Elko County,Joe Biden,DEM,4557,False
Nevada,Elko County,Jo Jorgensen,LIB,375,False
Nevada,Elko County, None of these candidates,NON,227,False
Nevada,Elko County,Don Blankenship,CST,67,False
Nevada,Esmeralda County,Donald Trump,REP,400,True
Nevada,Esmeralda County,Joe Biden,DEM,74,False
Nevada,Esmeralda County,Jo Jorgensen,LIB,6,False
Nevada,Esmeralda County, None of these candidates,NON,6,False
Nevada,Esmeralda County,Don Blankenship,CST,1,False
Nevada,Eureka County,Donald Trump,REP,895,True
Nevada,Eureka County,Joe Biden,DEM,105,False
Nevada,Eureka County, None of these candidates,NON,8,False
Nevada,Eureka County,Jo Jorgensen,LIB,6,False
Nevada,Eureka County,Don Blankenship,CST,3,False
Nevada,Humboldt County,Donald Trump,REP,5877,True
Nevada,Humboldt County,Joe Biden,DEM,1689,False
Nevada,Humboldt County,Jo Jorgensen,LIB,104,False
Nevada,Humboldt County, None of these candidates,NON,78,False
Nevada,Humboldt County,Don Blankenship,CST,23,False
Nevada,Lander County,Donald Trump,REP,2198,True
Nevada,Lander County,Joe Biden,DEM,496,False
Nevada,Lander County,Jo Jorgensen,LIB,36,False
Nevada,Lander County, None of these candidates,NON,30,False
Nevada,Lander County,Don Blankenship,CST,5,False
Nevada,Lincoln County,Donald Trump,REP,2067,True
Nevada,Lincoln County,Joe Biden,DEM,330,False
Nevada,Lincoln County, None of these candidates,NON,24,False
Nevada,Lincoln County,Jo Jorgensen,LIB,17,False
Nevada,Lincoln County,Don Blankenship,CST,8,False
Nevada,Lyon County,Donald Trump,REP,20914,True
Nevada,Lyon County,Joe Biden,DEM,8473,False
Nevada,Lyon County,Jo Jorgensen,LIB,461,False
Nevada,Lyon County, None of these candidates,NON,287,False
Nevada,Lyon County,Don Blankenship,CST,103,False
Nevada,Mineral County,Donald Trump,REP,1423,True
Nevada,Mineral County,Joe Biden,DEM,829,False
Nevada,Mineral County, None of these candidates,NON,38,False
Nevada,Mineral County,Jo Jorgensen,LIB,35,False
Nevada,Mineral County,Don Blankenship,CST,10,False
Nevada,Nye County,Donald Trump,REP,17528,True
Nevada,Nye County,Joe Biden,DEM,7288,False
Nevada,Nye County,Jo Jorgensen,LIB,243,False
Nevada,Nye County, None of these candidates,NON,226,False
Nevada,Nye County,Don Blankenship,CST,93,False
Nevada,Pershing County,Donald Trump,REP,1731,True
Nevada,Pershing County,Joe Biden,DEM,547,False
Nevada,Pershing County, None of these candidates,NON,20,False
Nevada,Pershing County,Jo Jorgensen,LIB,15,False
Nevada,Pershing County,Don Blankenship,CST,7,False
Nevada,Storey County,Donald Trump,REP,1908,True
Nevada,Storey County,Joe Biden,DEM,902,False
Nevada,Storey County,Jo Jorgensen,LIB,34,False
Nevada,Storey County, None of these candidates,NON,30,False
Nevada,Storey County,Don Blankenship,CST,3,False
Nevada,Washoe County,Joe Biden,DEM,128128,True
Nevada,Washoe County,Donald Trump,REP,116760,False
Nevada,Washoe County,Jo Jorgensen,LIB,3526,False
Nevada,Washoe County, None of these candidates,NON,3085,False
Nevada,Washoe County,Don Blankenship,CST,643,False
Nevada,White Pine County,Donald Trump,REP,3403,True
Nevada,White Pine County,Joe Biden,DEM,859,False
Nevada,White Pine County,Jo Jorgensen,LIB,43,False
Nevada,White Pine County, None of these candidates,NON,43,False
Nevada,White Pine County,Don Blankenship,CST,21,False
Nevada,Carson City,Donald Trump,REP,16113,True
Nevada,Carson City,Joe Biden,DEM,12735,False
Nevada,Carson City,Jo Jorgensen,LIB,432,False
Nevada,Carson City, None of these candidates,NON,355,False
Nevada,Carson City,Don Blankenship,CST,104,False
New Hampshire,Alton,Donald Trump,REP,2420,True
New Hampshire,Alton,Joe Biden,DEM,1438,False
New Hampshire,Alton,Jo Jorgensen,LIB,45,False
New Hampshire,Alton, Write-ins,WRI,0,False
New Hampshire,Barnstead,Donald Trump,REP,1698,True
New Hampshire,Barnstead,Joe Biden,DEM,1150,False
New Hampshire,Barnstead,Jo Jorgensen,LIB,74,False
New Hampshire,Barnstead, Write-ins,WRI,0,False
New Hampshire,Belmont,Donald Trump,REP,2365,True
New Hampshire,Belmont,Joe Biden,DEM,1609,False
New Hampshire,Belmont,Jo Jorgensen,LIB,78,False
New Hampshire,Belmont, Write-ins,WRI,0,False
New Hampshire,Center Harbor,Donald Trump,REP,407,True
New Hampshire,Center Harbor,Joe Biden,DEM,379,False
New Hampshire,Center Harbor,Jo Jorgensen,LIB,6,False
New Hampshire,Center Harbor, Write-ins,WRI,0,False
New Hampshire,Gilford,Donald Trump,REP,2748,True
New Hampshire,Gilford,Joe Biden,DEM,2508,False
New Hampshire,Gilford,Jo Jorgensen,LIB,57,False
New Hampshire,Gilford, Write-ins,WRI,0,False
New Hampshire,Gilmanton,Donald Trump,REP,1423,True
New Hampshire,Gilmanton,Joe Biden,DEM,1020,False
New Hampshire,Gilmanton,Jo Jorgensen,LIB,35,False
New Hampshire,Gilmanton, Write-ins,WRI,22,False
New Hampshire,Laconia,Donald Trump,REP,4642,True
New Hampshire,Laconia,Joe Biden,DEM,4141,False
New Hampshire,Laconia,Jo Jorgensen,LIB,137,False
New Hampshire,Laconia, Write-ins,WRI,35,False
New Hampshire,Meredith,Donald Trump,REP,2208,True
New Hampshire,Meredith,Joe Biden,DEM,2139,False
New Hampshire,Meredith,Jo Jorgensen,LIB,60,False
New Hampshire,Meredith, Write-ins,WRI,0,False
New Hampshire,New Hampton,Donald Trump,REP,810,True
New Hampshire,New Hampton,Joe Biden,DEM,697,False
New Hampshire,New Hampton,Jo Jorgensen,LIB,27,False
New Hampshire,New Hampton, Write-ins,WRI,5,False
New Hampshire,Sanbornton,Donald Trump,REP,1134,True
New Hampshire,Sanbornton,Joe Biden,DEM,875,False
New Hampshire,Sanbornton,Jo Jorgensen,LIB,36,False
New Hampshire,Sanbornton, Write-ins,WRI,0,False
New Hampshire,Tilton,Donald Trump,REP,1044,True
New Hampshire,Tilton,Joe Biden,DEM,938,False
New Hampshire,Tilton,Jo Jorgensen,LIB,43,False
New Hampshire,Tilton, Write-ins,WRI,0,False
New Hampshire,Albany,Joe Biden,DEM,250,True
New Hampshire,Albany,Donald Trump,REP,190,False
New Hampshire,Albany,Jo Jorgensen,LIB,9,False
New Hampshire,Albany, Write-ins,WRI,0,False
New Hampshire,Bartlett,Joe Biden,DEM,1374,True
New Hampshire,Bartlett,Donald Trump,REP,773,False
New Hampshire,Bartlett,Jo Jorgensen,LIB,23,False
New Hampshire,Bartlett, Write-ins,WRI,0,False
New Hampshire,Brookfield,Donald Trump,REP,315,True
New Hampshire,Brookfield,Joe Biden,DEM,218,False
New Hampshire,Brookfield,Jo Jorgensen,LIB,12,False
New Hampshire,Brookfield, Write-ins,WRI,0,False
New Hampshire,Chatham,Donald Trump,REP,130,True
New Hampshire,Chatham,Joe Biden,DEM,106,False
New Hampshire,Chatham,Jo Jorgensen,LIB,8,False
New Hampshire,Chatham, Write-ins,WRI,0,False
New Hampshire,Conway,Joe Biden,DEM,3411,True
New Hampshire,Conway,Donald Trump,REP,2465,False
New Hampshire,Conway,Jo Jorgensen,LIB,90,False
New Hampshire,Conway, Write-ins,WRI,0,False
New Hampshire,Eaton,Joe Biden,DEM,188,True
New Hampshire,Eaton,Donald Trump,REP,117,False
New Hampshire,Eaton,Jo Jorgensen,LIB,4,False
New Hampshire,Eaton, Write-ins,WRI,0,False
New Hampshire,Effingham,Donald Trump,REP,526,True
New Hampshire,Effingham,Joe Biden,DEM,391,False
New Hampshire,Effingham,Jo Jorgensen,LIB,9,False
New Hampshire,Effingham, Write-ins,WRI,0,False
New Hampshire,Freedom,Joe Biden,DEM,538,True
New Hampshire,Freedom,Donald Trump,REP,538,False
New Hampshire,Freedom,Jo Jorgensen,LIB,14,False
New Hampshire,Freedom, Write-ins,WRI,0,False
New Hampshire,Harts Location,Joe Biden,DEM,23,True
New Hampshire,Harts Location,Donald Trump,REP,20,False
New Hampshire,Harts Location,Jo Jorgensen,LIB,0,False
New Hampshire,Harts Location, Write-ins,WRI,0,False
New Hampshire,Jackson,Joe Biden,DEM,567,True
New Hampshire,Jackson,Donald Trump,REP,212,False
New Hampshire,Jackson,Jo Jorgensen,LIB,7,False
New Hampshire,Jackson, Write-ins,WRI,0,False
New Hampshire,Madison,Joe Biden,DEM,926,True
New Hampshire,Madison,Donald Trump,REP,760,False
New Hampshire,Madison,Jo Jorgensen,LIB,17,False
New Hampshire,Madison, Write-ins,WRI,0,False
New Hampshire,Moultonborough,Donald Trump,REP,1997,True
New Hampshire,Moultonborough,Joe Biden,DEM,1605,False
New Hampshire,Moultonborough,Jo Jorgensen,LIB,44,False
New Hampshire,Moultonborough, Write-ins,WRI,18,False
New Hampshire,Ossipee,Donald Trump,REP,1487,True
New Hampshire,Ossipee,Joe Biden,DEM,965,False
New Hampshire,Ossipee,Jo Jorgensen,LIB,34,False
New Hampshire,Ossipee, Write-ins,WRI,33,False
New Hampshire,Sandwich,Joe Biden,DEM,718,True
New Hampshire,Sandwich,Donald Trump,REP,413,False
New Hampshire,Sandwich,Jo Jorgensen,LIB,12,False
New Hampshire,Sandwich, Write-ins,WRI,0,False
New Hampshire,Tamworth,Joe Biden,DEM,899,True
New Hampshire,Tamworth,Donald Trump,REP,838,False
New Hampshire,Tamworth,Jo Jorgensen,LIB,31,False
New Hampshire,Tamworth, Write-ins,WRI,0,False
New Hampshire,Tuftonboro,Donald Trump,REP,1012,True
New Hampshire,Tuftonboro,Joe Biden,DEM,875,False
New Hampshire,Tuftonboro,Jo Jorgensen,LIB,13,False
New Hampshire,Tuftonboro, Write-ins,WRI,0,False
New Hampshire,Wakefield,Donald Trump,REP,1986,True
New Hampshire,Wakefield,Joe Biden,DEM,1240,False
New Hampshire,Wakefield,Jo Jorgensen,LIB,44,False
New Hampshire,Wakefield, Write-ins,WRI,0,False
New Hampshire,Wolfeboro,Donald Trump,REP,2371,True
New Hampshire,Wolfeboro,Joe Biden,DEM,2355,False
New Hampshire,Wolfeboro,Jo Jorgensen,LIB,51,False
New Hampshire,Wolfeboro, Write-ins,WRI,0,False
New Hampshire,Alstead,Joe Biden,DEM,684,True
New Hampshire,Alstead,Donald Trump,REP,477,False
New Hampshire,Alstead,Jo Jorgensen,LIB,28,False
New Hampshire,Alstead, Write-ins,WRI,0,False
New Hampshire,Chesterfield,Joe Biden,DEM,1390,True
New Hampshire,Chesterfield,Donald Trump,REP,958,False
New Hampshire,Chesterfield,Jo Jorgensen,LIB,44,False
New Hampshire,Chesterfield, Write-ins,WRI,0,False
New Hampshire,Dublin,Joe Biden,DEM,687,True
New Hampshire,Dublin,Donald Trump,REP,404,False
New Hampshire,Dublin,Jo Jorgensen,LIB,18,False
New Hampshire,Dublin, Write-ins,WRI,0,False
New Hampshire,Fitzwilliam,Donald Trump,REP,682,True
New Hampshire,Fitzwilliam,Joe Biden,DEM,666,False
New Hampshire,Fitzwilliam,Jo Jorgensen,LIB,19,False
New Hampshire,Fitzwilliam, Write-ins,WRI,0,False
New Hampshire,Gilsum,Donald Trump,REP,263,True
New Hampshire,Gilsum,Joe Biden,DEM,240,False
New Hampshire,Gilsum,Jo Jorgensen,LIB,13,False
New Hampshire,Gilsum, Write-ins,WRI,0,False
New Hampshire,Harrisville,Joe Biden,DEM,553,True
New Hampshire,Harrisville,Donald Trump,REP,201,False
New Hampshire,Harrisville,Jo Jorgensen,LIB,6,False
New Hampshire,Harrisville, Write-ins,WRI,0,False
New Hampshire,Hinsdale,Joe Biden,DEM,1048,True
New Hampshire,Hinsdale,Donald Trump,REP,829,False
New Hampshire,Hinsdale,Jo Jorgensen,LIB,33,False
New Hampshire,Hinsdale, Write-ins,WRI,5,False
New Hampshire,Jaffrey,Joe Biden,DEM,1528,True
New Hampshire,Jaffrey,Donald Trump,REP,1410,False
New Hampshire,Jaffrey,Jo Jorgensen,LIB,80,False
New Hampshire,Jaffrey, Write-ins,WRI,0,False
New Hampshire,Keene,Joe Biden,DEM,8950,True
New Hampshire,Keene,Donald Trump,REP,3758,False
New Hampshire,Keene,Jo Jorgensen,LIB,221,False
New Hampshire,Keene, Write-ins,WRI,0,False
New Hampshire,Marlborough,Joe Biden,DEM,806,True
New Hampshire,Marlborough,Donald Trump,REP,441,False
New Hampshire,Marlborough,Jo Jorgensen,LIB,22,False
New Hampshire,Marlborough, Write-ins,WRI,4,False
New Hampshire,Marlow,Joe Biden,DEM,277,True
New Hampshire,Marlow,Donald Trump,REP,207,False
New Hampshire,Marlow,Jo Jorgensen,LIB,12,False
New Hampshire,Marlow, Write-ins,WRI,0,False
New Hampshire,Nelson,Joe Biden,DEM,275,True
New Hampshire,Nelson,Donald Trump,REP,164,False
New Hampshire,Nelson,Jo Jorgensen,LIB,12,False
New Hampshire,Nelson, Write-ins,WRI,0,False
New Hampshire,Richmond,Donald Trump,REP,413,True
New Hampshire,Richmond,Joe Biden,DEM,292,False
New Hampshire,Richmond,Jo Jorgensen,LIB,14,False
New Hampshire,Richmond, Write-ins,WRI,0,False
New Hampshire,Rindge,Donald Trump,REP,2144,True
New Hampshire,Rindge,Joe Biden,DEM,1443,False
New Hampshire,Rindge,Jo Jorgensen,LIB,71,False
New Hampshire,Rindge, Write-ins,WRI,0,False
New Hampshire,Roxbury,Joe Biden,DEM,92,True
New Hampshire,Roxbury,Donald Trump,REP,52,False
New Hampshire,Roxbury,Jo Jorgensen,LIB,0,False
New Hampshire,Roxbury, Write-ins,WRI,0,False
New Hampshire,Stoddard,Donald Trump,REP,430,True
New Hampshire,Stoddard,Joe Biden,DEM,419,False
New Hampshire,Stoddard,Jo Jorgensen,LIB,0,False
New Hampshire,Stoddard, Write-ins,WRI,0,False
New Hampshire,Sullivan,Joe Biden,DEM,216,True
New Hampshire,Sullivan,Donald Trump,REP,186,False
New Hampshire,Sullivan,Jo Jorgensen,LIB,10,False
New Hampshire,Sullivan, Write-ins,WRI,0,False
New Hampshire,Surry,Joe Biden,DEM,307,True
New Hampshire,Surry,Donald Trump,REP,252,False
New Hampshire,Surry,Jo Jorgensen,LIB,4,False
New Hampshire,Surry, Write-ins,WRI,0,False
New Hampshire,Swanzey,Joe Biden,DEM,2008,True
New Hampshire,Swanzey,Donald Trump,REP,1763,False
New Hampshire,Swanzey,Jo Jorgensen,LIB,59,False
New Hampshire,Swanzey, Write-ins,WRI,0,False
New Hampshire,Troy,Donald Trump,REP,583,True
New Hampshire,Troy,Joe Biden,DEM,509,False
New Hampshire,Troy,Jo Jorgensen,LIB,25,False
New Hampshire,Troy, Write-ins,WRI,0,False
