company_name,services_provided,mbe_wbe_cert,small_local_cert,veteran_cert,sdo_cert,has_bais_id,address,city,state,zipcode,contact_name,contact_title,phone,fax,email,business_type,construction,year_established,number_employees,business_area_1,business_area_2,business_area_3,naics_1,naics_2,naics_3
Law Offices of Jennifer R. DeFeo,Professional Legal Services   ,WBE,SLBE,,false,true,10 Bremen Street East Boston MA 02128,East Boston,MA,02128,Ms. Jennifer DeFeo,owner,(617) 561-0151,,,Profit,false,1995,Under 10,AT - Attorneys,,,,,
Law Offices of John R. Shek,Legal services   in court,MBE,SLBE,,true,false,141 Tremont Street Boston MA 02111,Boston,MA,02111,Mr. John R Shek,Principle,(617) 723-1223,(617) 742-5734,,Profit,false,1988,Under 10,AT - Attorneys,,,,,
LeadWell Partners (dba LWP),Strategic advisory and management consultant   ,WBE,SLBE,,false,false,77 Exeter Street Boston MA 02116,Boston,MA,02116,Dr. Elizabeth Reilinger,Founder and Managing Director,(617) 838-2973,,ereilinger@leadwellpartners.com,Profit,false,2008,Under 10,COM - Consultants: Management,COS - Consultants: Systems Analysis,COD - Consultants: Design,541611 - Administrative Management and General Management Consulting Services ,541511 - Custom Computer Programming Services ,541720 - Research and Development in the Social Sciences and Humanities 
"Legacy International Trucking, LLC",Freight delivery/transportation,MBE,SLBE,,false,false,171 Wilmington Avenue Boston MA 02124,Boston,MA,02124,Mr. Demark Davis,Owner,(857) 334-0429,,legacyinternationaltruckingllc@gmail.com,Profit,false,2020,Under 10,TK - Trucking (Waste Disposal Commodities Transport),,,"484110 - General Freight Trucking, Local ",,
"L & H Plumbing Company, Inc.",Plumbing and minor heating; backflow prevention services and testing  ,MBE,SLBE,,true,false,90  West Cottage Street Boston MA 02125,Boston,MA,02125,Joseph D Hurley,Mr.,(617) 445-2937,,,Profit,true,1990,Under 10,PB - Plumbing,"ME - Mechanical Contractors (HVAC, Plumbing, Insulation, Service, see also GC, PB)",COD - Consultants: Design,,,
Light Life Massage,"On-site massage therapy, Reiki, meditation, EFT tapping (stress release and deep relaxation technique)   ",WBE,,,false,false,38 Holmes Street Carver MA 92330,Carver,MA,92330,Ms. Joanne Salerno,Owner,(339) 832-2196,,llm@myabmp.com,Profit,false,2007,Under 10,"AHS - Health Care (Providers, Services)",,,621330 - Offices of Mental Health Practitioners (except Physicians) ,621399 - Offices of All Other Miscellaneous Health Practitioners ,812990 - All Other Personal Services 
"Lin Associates, Inc.",Consulting engineers--structural engineering services and construction administration ,MBE,SLBE,,true,true,2001 Beacon Street Brighton MA 02135,Brighton,MA,02135,Mr. Daniel Deng,Principal,(617) 566-4216,(617) 566-6038,info@linboston.com,Profit,false,1978,10-20,"COA - Consultants: Architecture, Engineering",COU - Consultants: Transportation,,541330 - Engineering Services,,
"Linea 5, Inc.",Architecture and engineering services   ,WBE,,,false,true,22 Batterymarch Street Boston MA 02109,Boston,MA,02109,Ms. Jennifer Hite,Principal,(617) 723-8808,(617) 723-8898,jgarcia@linea5.com,Profit,false,1985,21-40,AE - Architects/Engineers,,,541310 - Architectural Services,541330 - Engineering Services,
"LingoCo, LLC",Language and education testing and consulting   ,WBE,SLBE,,false,false,130 Bowdoin Street Boston MA 02108,Boston,MA,02108,Ms. Amanda Potasznik,,(857) 245-5639,,info@lingoco.com,Profit,false,2017,Under 10,"ED - Education (see also OS, TA)",COV - Consultants: Translation,MO - Multi Service Organizations,611630 - Language Schools ,611710 - Educational Support Services,561410 - Document Preparation Services
"Livs Transportation, Inc.","Waste hauler, including commercial, residential, and construction site; container rental for waste or storage   ",WBE,SBE,,false,false,108 Homestead Lane Hanover MA 02339,Hanover,MA,02339,Ms. Carolyn P Mowbray,President,(781) 844-1476,(781) 834-0004,,Profit,true,,Under 10,EP - Equiment Rental (Heavy Construction),,,532490 - Other Commercial and Industrial Machinery and Equipment Rental and Leasing ,,
"L & K Trucking, Inc.","Snow plowing; excavation; paving; and oil tank removal, above and underground   ",MBE,,,true,true,1 Whipple Road Peabody MA 01960,Peabody,MA,01960,Mr. Landford D Huff,Owner,(978) 771-9352,,katrina@landktrucking.com,Profit,true,1987,Under 10,"SI - Sitework (Excavation, Demolition, Utilities, Sewage, see also GC)",SN - Snow Removal/Plowing (see also TK),TK - Trucking (Waste Disposal Commodities Transport),,,
"L. Martinez Construction, Inc.",Demolition and final clean up   ,MBE,,,false,true,237 Bennington Street East Boston MA 02128,East Boston,MA,02128,Mr. Leonel Martinez,President,(617) 331-7270,(617) 507-0289,,Profit,true,2002,Under 10,"SI - Sitework (Excavation, Demolition, Utilities, Sewage, see also GC)",,,238910 - Site Preparation Contractors,,
"Logan Communications International, Inc.","Provide business and independent professionoals with the resources, support and tools needed for sustained success and growth   ",,SLBE,,false,false,P.O. Box 549 East Boston MA 02128,East Boston,MA,02128,Ms. Hajar Abdurrahim-Logan,,(617) 569-8720,,,Profit,false,1999,Under 10,"OS - Office Services (Clerical Support, Employment, Court Reporting, Typing, etc., see also EM)",MK - Marketing,,561210 - Facilities Support Services,,
Long Bay Management Company,Real estate and development company   construction management,MBE,SLBE,,false,false,451 Blue Hill Avenue Dorchester MA 02121,Dorchester,MA,02121,Ms. Lisa Guscott,Owner's representative,(617) 259-1890,(617) 989-1253,lguscott@longbaymgt.com,Profit,true,2006,Under 10,"JA - Janitorial Services/Supplies (see also MA, RS)","MA - Maintenance (Industrial, Commericial, Residential, see also JA, RS)",,531311 - Residential Property Managers ,,
"LOOP Capital Markets, LLC",Investment banking and securities brokerage brokerage  ,MBE,,,false,false,111 W. Jackson Chicago IL 60604,Chicago,IL,60604,Mr. Stephen Berkeley,Chief Compliance Officer,(312) 913-2225,(312) 913-4928,,Profit,false,1997,Over 100,BA - Banking/Financial Services,,,523120 - Securities Brokerage ,,
"Lotus Designs, Inc.",Retail flower shop; weddings and special events; florist   ,MBE,SLBE,,false,false,977 Tremont Street Boston MA 02120,Boston,MA,02120,Mr. Khetporn Palakavong,President,(617) 262-7031,(617) 236-1179,knaayutaya@aol.com,Profit,false,1995,Under 10,"FO - Floral (Arrangement, Maintenance)",RT - Retail Sales of Art & Framing,,453110 - Florists ,,
Lowe Plumbing & Heating,Plumbing and heating contractors   ,MBE,SLBE,,false,true,90 West Cottage Street Dorchester MA 02125,Dorchester,MA,02125,Mr. Eugene Lowe,Owner,(617) 541-3446,,,Profit,false,1996,Under 10,PB - Plumbing,,,,,
Luna Design Group,Architectural design; interior and planning; planning and handicap accessibility services   ,MBE,SBE,,true,true,100 Conifer Hill Drive Danvers MA 01923,Danvers,MA,01923,"Mr. Joseph L Luna, AIA",Owner,(781) 245-6530,(781) 245-6508,,Profit,false,1990,Under 10,AE - Architects/Engineers,"COA - Consultants: Architecture, Engineering",COB - Consultants: City Planning,541310 - Architectural Services,,
"LXC Engineering Group, LLC","Engineering services, including MEP and F Consultant, Electrical Design, Forensic Analysis and Commissioning services to updrade existinf and new buildin new smart digital infrastructure on modern power systems   ",MBE,SLBE,,true,false,1532B Dorchester Avenue Boston MA 02122,Boston,MA,02122,Mr. Louis Chrispin,Principal Engineer,(3) 059-8819,(857) 366-6389,lchrispin@lxceg.com,Profit,false,2018,Under 10,AE - Architects/Engineers,"COA - Consultants: Architecture, Engineering",COD - Consultants: Design,,541330 - Engineering Services,541350 - Building Inspection Services
"M & A Architectural Preservation, Inc.","Finish carpentry contractor:  restoration,  windows and doors   ",WBE,SBE,,true,false,433 Market Street Lawrence MA 01843,Lawrence,MA,01843,Ms. Susan G Muckle,President,(978) 683-0880,(978) 683-8370,suemuckle@archpres.com,Profit,true,1991,10-20,CA - Carpentry,CM - Concrete & Masonry Contractors,GC - General Contractors,236220 - Commercial and Institutional Building Construction ,238350 - Finish Carpentry Contractors,238150 - Glass and Glazing Contractors 
"Mabbett & Associates, Inc.",Environmental engineering and planning; site assessment and remediation; occupational safety and health; environmental compliance and management; environmental health and safety training   ,,SBE,SDVOSB,true,false,5 Alfred Circle Bedford MA 01730,Bedford,MA,01730,Mr. Arthur N Mabbett,,(781) 275-6050,(781) 275-2557,mabbett@mabbett.com,Profit,false,1980,,"EN - Environmental Consultants ( Planning, Soil Boring, Hazardous Waste Treatment, etc.)",CON - Consultants: Environmental,TA - Training (see also ED),562910 - Remediation Services ,541330 - Engineering Services,
MacKenzie Painting Company,"Painting contractor:  painting, wall covering, epoxy flooring and spray-on fireproofing   ",WBE,,,false,false,60 Mead Street Stratford CT 06615,Stratford,CT,06615,Ms. Margaret M Cumings,President,(203) 380-9000,(203) 386-9507,m.cumings@themackenziecos.com,Profit,true,1990,21-40,PA - Painting and Papering Contractors,"PC - Protective Coverings (Water and Fireproofing, Special Coverings/Coatings)","ER - Exterior Restoration, Sandblasting (Anti-Graffiti)",238320 - Painting and Wall Covering Contractors,,
Maid in the Shade,Cleaning services; maintenance and janitorial services,WBE,SLBE,,false,false,30 Fenwood Road Boston MA 02115,Boston,MA,02115,Ms. Kerrie Felton,Owner,(617) 713-4242,,maidintheshadecleaning@outlook.com,Profit,false,2002,Under 10,"JA - Janitorial Services/Supplies (see also MA, RS)",,,561720 - Janitorial Services ,,
"Mainsail Group, Inc.",Professional services; program and project management; administrative support; IT support.  This is a Service Disabled Veteran Owned Small Business Enterprise (SDVOSBE).   ,,SBE,SDVOSB,false,false,200 Hanscom Drive Bedford MA 01730,Bedford,MA,01730,Ms. Laura Penders,CEO,(508) 745-3195,(508) 358-3569,ldpenders@mainsailgroupinc.com,Profit,false,2013,,"OS - Office Services (Clerical Support, Employment, Court Reporting, Typing, etc., see also EM)","CP - Computer (Hardware, Software, Design, Data Processing (see also COS, COT)",,519190 - All Other Information Services,561990 - All Other Support Services,
Make It Personal Designs,Custom embroidery services   ,MWBE,SLBE,,false,true,6B Herman Street Roxbury MA 02119,Roxbury,MA,02119,Ms. Lisa Martin,Owner,(617) 445-0424,(617) 445-0424,sales@makeitpersonaldesigns.ws,Profit,false,2005,Under 10,AL - Apparel,,,,,314999 - All Other Miscellaneous Textile Product Mills 
"Malbay Consulting, Inc.",Community relations and public affairs,WBE,SLBE,,false,false,"84 Train Street, #2 Dorchester MA 02122",Dorchester,MA,02122,Ms. Kate Kelly,President,(508) 479-7884,,kate@malbayconsulting.com,Profit,false,2017,Under 10,COP - Consultants: Public Relations,"RE - Real Estate (Development, Management, Sales and Appraisals)",,541820 - Public Relations Agencies,531390 - Other Activities Related to Real Estate ,
"Mansfield Travel, Inc.",Travel consulting; full service travel agency; leisure and corporate travel services ,WBE,,,true,true,P.O. Box 1284 Mansfield MA 02048,Mansfield,MA,02048,Cynthia A DeMarco,President,(508) 339-0090,(508) 339-0439,,Profit,false,1992,Under 10,"TR - Travel, Transportation (Travel Agencies, Planning, Limo Services)",COU - Consultants: Transportation,"AU - Automobile (Sales, Services, Leasing, Rental)",,,
Marilyn Humphries Photography,"Editorial and event photography; annual reports, portrait photography; new, stock and location photography   ",WBE,SBE,,true,true,6 Brimbal Hills Drive Beverly MA 01915,Beverly,MA,01915,Ms. Marilyn L Humphries,Photographer/Owner,(978) 921-1633,(978) 921-5935,mhumphries@nii.net,Profit,false,1988,Under 10,PG - Photography,,,"541921 - Photography Studios, Portrait ",541922 - Commercial Photography ,
Market International Insurance Agency,Commercial property and casualty insurance broker   specifications preparations,MWBE,SBE,,true,false,183 Columbia Road Hanover MA 02339,Hanover,MA,02339,Ms. Lisel Garcia,Principal,(781) 834-3311,(781) 834-3322,lgarcia@marketinternational.com,Profit,false,1997,Under 10,IN - Insurance Agencies (see also COI),COI - Consultants: Insurance & Financial,FI - Financial Services (see also BA and COI),,,
"Marley Environmental, Inc.","Environmental consulting (Phase I site assessment, Phase II investigations, remediation oversight)   ",WBE,,,true,false,P.O. Box 1765 Avon CT 06001,Avon,CT,06001,Ms. Martha Lemmon,President/CEO,(203) 831-0123,(203) 838-6410,mlemmon@marleyenvironmental.com,Profit,false,1994,Under 10,"EN - Environmental Consultants ( Planning, Soil Boring, Hazardous Waste Treatment, etc.)",CON - Consultants: Environmental,HW - Hazardous Waste Management (see also EN and CON),,,
"Mass Construction and Management, Inc.",General contractor; construction and construction management   ,MBE,SLBE,,true,true,34 Cedar Street Rear Mattapan MA 02126,Mattapan,MA,02126,Mr. Maxime Charles,President,(781) 885-7162,(781) 885-7260,mcharles@massconstruct.com,Profit,true,2007,41-100,CN - Construction Management: Small Commercial Projects,GC - General Contractors,CA - Carpentry,236118 - Residential Remodelers ,236220 - Commercial and Institutional Building Construction ,238130 - Framing Contractors 
Mass Janitorial Supplies,Distributor of janitorial supplies   ,MWBE,SLBE,,true,false,46 Saybrook Street Brighton MA 02135,Brighton,MA,02135,Ms. Tanya Violette,Owner,(617) 680-8180,(617) 254-0144,massjanitorial@gmail.com,Profit,false,2012,Under 10,SU - Suppliers,"JA - Janitorial Services/Supplies (see also MA, RS)","MA - Maintenance (Industrial, Commericial, Residential, see also JA, RS)",424130 - Industrial and Personal Service Paper Merchant Wholesalers ,424690 - Other Chemical and Allied Products Merchant Wholesalers ,424990 - Other Miscellaneous Nondurable Goods Merchant Wholesalers 
"Mass Mailers, Inc.",Mailing services; printing; list maintenance; computer printing; barcoding   ,WBE,SLBE,,false,true,28 Damrell Street South Boston MA 02127,South Boston,MA,02127,Ms. Deborah T Oakley,President,(617) 464-3279,(617) 464-0152,mmailers@aol.com,Profit,false,1981,Under 10,DI - Direct Mail Services,,,561431 - Private Mail Centers ,,
"Mass Remodeling and Painting, Inc.","Painting, repairs and bathroom remodeling commercial and residential  ",MBE,SLBE,,true,true,31 Norfolk Street Boston MA 02124,Boston,MA,02124,Ms. Brenda L Marrero,Vice President,(617) 517-5445,(617) 517-5445,massremodeling@gmail.com,Profit,true,2007,Under 10,PA - Painting and Papering Contractors,,,238320 - Painting and Wall Covering Contractors,236118 - Residential Remodelers ,
"M & A Supplier Diversity Consultants, LLC",Consulting; training; business development; assistance with State and Federal certifications; grant writing; supplier diversity plans   ,MWBE,SBE,,true,false,197 Winthrop Street Taunton MA 02780,Taunton,MA,02780,Ms. Maria Gonzalez,Managing Member,(508) 720-5654,,masupplierdiversityconsultants@gmail.com,Profit,false,2019,Under 10,COM - Consultants: Management,TA - Training (see also ED),,,,
"Mauch Group, LLC, The",Business process improvement and technology integration; and project management   ,MWBE,SBE,,true,false,296 Main Street Norwell MA 02061,Norwell,MA,02061,Ms. Irene Mauch,Manager,(781) 775-5251,,ipmauch@gmail.com,Profit,false,2013,,BU - Business Management Consultants,COM - Consultants: Management,AD - Advertising/Audovisual Graphic Design/Marketing Public Relations,"541614 - Process, Physical Distribution, and Logistics Consulting Services ",541618 - Other Management Consulting Services ,611430 - Professional and Management Development Training 
"Maverick Media, LLC",Advertising:  outside advertising   ,WBE,SLBE,,true,false,2 Oliver Street Boston MA 02109,Boston,MA,02109,Ms. Valerie Barsom,President,(617) 407-6344,,vbarsom1960@gmail.com,Profit,false,2016,Under 10,AD - Advertising/Audovisual Graphic Design/Marketing Public Relations,,,541850 - Outdoor Advertising,,
McCall Transportation LLC,Medical transportation; ambulance/wheelchair service   ,MBE,SLBE,,false,true,100 Gibson Street Dorchester MA 02122,Dorchester,MA,02122,Mr. Stephan McCall,President,(617) 288-7772,(617) 288-7773,mccalltrans@aol.com,Profit,false,2002,Over 100,"AHS - Health Care (Providers, Services)","TR - Travel, Transportation (Travel Agencies, Planning, Limo Services)",,621910 - Ambulance Services ,485991 - Special Needs Transportation ,485999 - All Other Transit and Ground Passenger Transportation 
McCormick Bowers Associates,"Organizational Development, especially in diversity, strategic planning, team development; multi-cultural consultants, consulting with community based organizations on resource development   ",WBE,SLBE,,true,false,10 Lochstead Avenue Jamaica Plain MA 02130,Jamaica Plain,MA,02130,Ms. Jane M Bowers,Founder and Principal,(617) 536-3426,(617) 720-2765,,Profit,false,1987,Under 10,COG - Consultants: Human Resources,COM - Consultants: Management,TA - Training (see also ED),,,
"McDermott-Pallotta, Inc.","Printers:  manuals, letterhead, brochures; high-speed xerography   ",WBE,,,true,true,376 Arsenal Street Watertown MA 02472,Watertown,MA,02472,Marylouise P McDermott,,(617) 924-4091,(617) 926 1236,,Profit,false,1979,Under 10,PT - Printers,,,,,
"McKenzie & Edwards, P.C.",Legal services: litigation; real estate; corporate; bankruptcy; banking/finance; and labor/employment   ,MBE,SLBE,,true,true,183 State Street Boston MA 02109,Boston,MA,02109,Mr. Denzil D McKenzie,,(617) 723-0400,(617) 723-7234,,Profit,false,1984,10-20,AT - Attorneys,,,,,
"McNish Building and Development, Inc.",General contractor specializing in construction; home remodeling; and building/development   ,MBE,SLBE,,false,true,61 Granite Avenue Dorchester MA 02124,Dorchester,MA,02124,Mr. Hansley McNish,President,(617) 501-0075,,mcnish12@hotmail.com,Profit,true,2010,Under 10,GC - General Contractors,WE - Welding (see also FB),,236118 - Residential Remodelers ,236220 - Commercial and Institutional Building Construction ,236116 - New Multifamily Housing Construction (except For-Sale Builders) 
"MDK Brand Management, LLC","Brand management, marketing, consulting, and workshops   ",MWBE,SBE,,true,true,17 Cutter Lane Quincy MA 02171,Quincy,MA,02171,Ms. Michela D Kaigler,Owner,(781) 856-6740,(781) 784-0098,denise@mdkbrandmanagement.com,Profit,false,2015,Under 10,AD - Advertising/Audovisual Graphic Design/Marketing Public Relations,COM - Consultants: Management,,541613 - Marketing Consulting Services ,541618 - Other Management Consulting Services ,
"Medi Print, Inc. dba The Print House",Printing and related services; print shop   ,,SBE,,false,true,200 Maplewood Street Malden MA 02148,Malden,MA,02148,Mr. Paul Doucette,President,(781) 324-4455,(781) 324-2777,pdoucette@printhouse.com,Profit,false,1983,21-40,PT - Printers,,,561439 - Other Business Service Centers (including Copy Shops) ,,
"Meeting Planning Services, Inc.",Plan and manage tradeshows and conferences for clients   ,,SBE,,false,false,8 Main Street Hingham MA 02043,Hingham,MA,02043,Mr. Brian Clark,President,(781) 741-9966,(781) 741-9977,,Profit,false,,Under 10,,,,561920 - Convention and Trade Show Organizers,561990 - All Other Support Services,
"Meichi Peng Design Studio, Inc.",Interior design; interior architectural design   ,MWBE,SLBE,,false,false,460 Harrison Avenue Boston MA 02118,Boston,MA,02118,Ms. Meichi Peng,President,(617) 521-8660,(617) 521-8661,np@meichipeng.com,Profit,false,2007,Under 10,IT - Interior Deisgn Services,,,541410 - Interior Design Services,,
"Melange Information Services, Inc.",Educational Training and Management Consulting Services and Products.  ,MWBE,,,true,false,359 Walden Street Cambridge MA 02138,Cambridge,MA,02138,Lana Jackman,CEO,(617) 354-6269,(617) 354-6269,,Profit,false,2001,Under 10,COM - Consultants: Management,TA - Training (see also ED),"ED - Education (see also OS, TA)",,,
Melo s Rodbusters,Installation of rebar and mesh and accessories   ,WBE,SBE,,false,false,878 Smith Neck Road South Dartmouth MA 02748,South Dartmouth,MA,02748,Ms. Goreti L Melo,Owner,(508) 984-1745,(508) 984-5245,gmelo610@msn.com,Profit,true,2001,21-40,"ST - Steel Contractos (Reinforcing, Erecting, see also FB, GC)",,,238120 - Structural Steel and Precast Concrete Contractors ,,
"M.E. O Brien and Sons, Inc.","Furnish site amenities, playground equipment, safety surfacing, water play, shelters, bus shelters, and signage   ",WBE,,,true,true,93 West Street Medfield MA 02052,Medfield,MA,02052,Ms. Meghan O'Brien,President,(508) 359-4200,(508) 359-2817,erin_o'brien@obrienandsons.com,Profit,true,1954,10-20,SU - Suppliers,,,423910 - Sporting and Recreational Goods and Supplies Merchant Wholesalers ,,
Meredith L. Baker Architect,Architectural design services   ,WBE,,,false,true,2 Curtis Street Winchester MA 01890,Winchester,MA,01890,Ms. Meredith L Baker,Architect,(781) 729-8154,,meredith@mlbaker.com,Profit,false,1989,Under 10,AE - Architects/Engineers,"COA - Consultants: Architecture, Engineering",COD - Consultants: Design,,,
Merengue Corp. dba Merengue Restaurant &,"Eat in, take out, delivery and catering of Latin food   ",MBE,,,false,false,ATTN Catering Roxbury MA 02119,Roxbury,MA,02119,Mr. Hector D Pina,,(617) 445-5403,(617) 445-0106,hectorpina10@gmail.com,Profit,false,1994,10-20,CT - Catering,"FD - Food Products, Services",,,722320 - Caterers,
"Messenger Temporary Services, Inc.",Employment services; pick-up and delivery services  ,MBE,,,true,false,P.O. Box 960311 Boston MA 02196,Boston,MA,02196,Mr. Jide Ogungbadero,,(617) 367-6250,(617) 783-7006,,Profit,false,1985,Under 10,"EM - Employement (see also OS, TR)",,,,,
Metro Equipment Corporation,"Site work, site utilities, excavation, construction, equipment rental, concrete work, snow plowing   ",WBE,SBE,,true,true,20 Rex Drive Braintree MA 02184,Braintree,MA,02184,Ms. Ann M Sullivan,President,(617) 524-0414,(617) 524-6404,asullivan@metroequipmentcorp.com,Profit,true,1986,21-40,"SI - Sitework (Excavation, Demolition, Utilities, Sewage, see also GC)",GC - General Contractors,CM - Concrete & Masonry Contractors,238110 - Poured Concrete Foundation and Structure Contractors ,238910 - Site Preparation Contractors,237990 - Other Heavy and Civil Engineering Construction 
"Michael Washington Architects, Inc.",Architectural services   ,MBE,SLBE,,false,true,891 Centre Street Jamaica PLain MA 02130,Jamaica PLain,MA,02130,Mr. Michael J Washington,President,(781) 530-7185,,mwainc1@hotmail.com,Profit,false,,Under 10,AE - Architects/Engineers,,,541310 - Architectural Services,,
Mike s Tree and Landscape Company,"Removal of trees, pruning & trimming; landscaping; stumping; logging  ",,SBE,,true,true,51 Thompson Ave Brockton MA 02301,Brockton,MA,02301,Mr. Eric T Gross,Owner,(617) 325-4271,,,Profit,true,1985,Under 10,LA - Landscaping Contractors,"LD - Landscaping (Design, Architects)",GC - General Contractors,561730 - Landscaping Services,,
Mikyoung Kim Design,Landscape architect   ,MWBE,SLBE,,false,false,119 Braintree Street Boston MA 02134,Boston,MA,02134,Ms. Mikyoung Kim,Owner,(617) 782-9130,(617) 782-6504,myk@mikyoungkim.com,Profit,false,1997,Under 10,"LD - Landscaping (Design, Architects)","AS - Architectural Support Services, Surveying",,541320 - Landscape Architectural Services,,
Mill City Environmental Corporation,"Waste management services; remediation support services; site restoration services; environmental consulting, asbestos abatement; trucking; and excavation   ",MBE,SBE,,true,true,116 John Street Lowell MA 01852,Lowell,MA,01852,Mr. Brian L Chapman,President,(978) 654-6741,(978) 452-0688,bchapman@millcityenv.com,Profit,true,2001,Under 10,"EN - Environmental Consultants ( Planning, Soil Boring, Hazardous Waste Treatment, etc.)",TK - Trucking (Waste Disposal Commodities Transport),"SI - Sitework (Excavation, Demolition, Utilities, Sewage, see also GC)",562910 - Remediation Services ,,
Minden Associates,Research in health and mental health   ,WBE,,,false,false,238 Vermont Street West Roxbury MA 02132,West Roxbury,MA,02132,Ms. Sarah Minden,Owner,(617) 327-4420,(617) 327-7291,,Profit,false,2006,Under 10,"COH - Consultants: Health, Psychological",,,"541990 - All Other Professional, Scientific, and Technical Services",,
"Mission Park Capital, LLC",Investment advisory and management   ,MBE,SLBE,,false,false,31 Pinckney Street Boston MA 02114,Boston,MA,02114,Mr. Enrique Perez,Managing Principal,(413) 597-8901,,enrique.perez@missionparkcapital.com,Profit,false,2018,Under 10,FI - Financial Services (see also BA and COI),BA - Banking/Financial Services,COI - Consultants: Insurance & Financial,523920 - Portfolio Management ,523930 - Investment Advice ,
"Mistry Associates, Inc.","Architectural/engineering design firm; consulting services include mechanical, civil, electrical, plumbing engineering; land and field surveying   ",MBE,SBE,,true,true,315 Main Street Reading MA 01867,Reading,MA,01867,Mr. Nalin M Mistry,President,(781) 944-6400,(781) 944-0180,forrest@mistry.com,Profit,false,,21-40,AE - Architects/Engineers,"COA - Consultants: Architecture, Engineering",COD - Consultants: Design,541330 - Engineering Services,541370 - Surveying and Mapping (except Geophysical) Services,
MKA Landscape Architects,Landscape architectural services   ,,SBE,,false,false,30 Chestnut Street Quincy MA 02169,Quincy,MA,02169,Mr. Mark C Kopchell,President,(617) 770-4717,(617) 773-7655,mk@mka-la.com,Profit,false,2004,Under 10,"LD - Landscaping (Design, Architects)",,,541320 - Landscape Architectural Services,,
Modulease Corporation,Rental and sale of mobile field office trailers   ,WBE,,,false,false,P.O. Box 932 North Attleboro MA 02761,North Attleboro,MA,02761,Ms. Linda J Prewandowski,President,(508) 695-4145,(508) 695-4146,,Profit,true,1996,Under 10,EP - Equiment Rental (Heavy Construction),,,"532120 - Truck, Utility Trailer, and RV (Recreational Vehicle) Rental and Leasing ",,
"Morisset Plumbing, Heating and Cooling",Plumbing; heating; water and gas piping and repair; sump pump installation; appliance installation; ppipe thawing; boiler repair and replacement; oil and gas heating system installation; furnace repair and replacement   ,MBE,SBE,,true,true,24 Quincy Street Quincy MA 02169,Quincy,MA,02169,Mr. Antonio Morisset,Owner,(617) 275-6442,(781) 885-2792,morissetplumbing@gmail.com,Profit,true,2016,Under 10,PB - Plumbing,,,"238220 - Plumbing, Heating, and Air-Conditioning Contractors ",,
"Mouras Cleaning Service, Inc.","Cleaning services, industrial and commercial; carpet and upholstery steam cleaning   ",,SBE,,true,false,43 Broad Street Hudson MA 01749,Hudson,MA,01749,Mr. David M Moura,President,(978) 562-1839,(978) 567-0802,info@mourascleaningservice.com,Profit,false,,41-100,"JA - Janitorial Services/Supplies (see also MA, RS)",,,561720 - Janitorial Services ,,
"MP Consulting, Inc.","Computer sales, service, networking and upgrades   ",MBE,,,false,false,311 Elm Street West Springfield MA 01089,West Springfield,MA,01089,Mr. Michael G Price,President,(413) 747-2809,(413) 747-2806,admin@mpconsultinginc.com,Profit,false,1989,Under 10,"CP - Computer (Hardware, Software, Design, Data Processing (see also COS, COT)",,,,,
Mrs. Spick and Span,Residential and commercial cleaning   ,MWBE,SLBE,,false,true,15 Ferndale Street Dorchester MA 02124,Dorchester,MA,02124,Ms. Nikesa Bruce,Owner,(848) 459-1155,,nksbruce@yahoo.com,Profit,false,2019,Under 10,"JA - Janitorial Services/Supplies (see also MA, RS)",,,561720 - Janitorial Services ,,
M. Solberg Enterprises Corporation,Precast concrete erecting; concrete cutting   ,WBE,SBE,,true,true,149 Cross Street Winchester MA 01890,Winchester,MA,01890,Ms. Cheryl G Hughes,President,(781) 729-2655,(781) 729-1882,,Profit,true,1984,10-20,CM - Concrete & Masonry Contractors,,,238990 - All Other Specialty Trade Contractors,,
"Murdock Mailing Company, Inc.",Mailing; printing; fulfillment; addressing; stamp affix; inserting; database management; list supplier; document printing; postal discounts   ,,SLBE,,false,true,65 Sprague Street Hyde Park MA 02136,Hyde Park,MA,02136,"Mr. David Hanson, Sr.",Owner,(617) 361-5959,(617) 361-9779,info@murdockmail.com,Profit,false,1980,Under 10,"OS - Office Services (Clerical Support, Employment, Court Reporting, Typing, etc., see also EM)",,,561431 - Private Mail Centers ,,
"M Works, Inc.",On-site recording; small run duplication   ,,SBE,,false,false,1035 Cambridge Stree Cambridge MA 02141,Cambridge,MA,02141,Jonathan A Wyner,Mr.,(617) 577-0089,(617) 577-0098,,Profit,false,1992,Under 10,AD - Advertising/Audovisual Graphic Design/Marketing Public Relations,TV - Television/Production,,512240 - Sound Recording Studios,512110 - Motion Picture and Video Production ,541430 - Graphic Design Services
Myrna Johnston Audio,"Sound services:  set up microphones, loudspeakers, etc. for meetings, concerts, etc.; sell/supply sound equipment   ",WBE,SLBE,,true,true,8 Spring Park Avenue Jamaica Plain MA 02130,Jamaica Plain,MA,02130,Ms. Myrna Johnston,,(617) 522-8442,(617) 522-7692,,Profit,false,1986,Under 10,"COA - Consultants: Architecture, Engineering",COT - Consultants: Telecommunications,"EO - Electronic Parts (Mgfs., Distrib., Assembly Service)",,,
