(b) EIN,(d) Amount of cash grant,(h) Purpose of grant or assistance
13-2654926,"5,000",Capital  Campaign
13-2654926,"20,250",Environment/Wildlife/Agric ulture
13-2654926,"53,250",Operating  Support/Annual Fund
04-6171476,"150,588",Operating  Support/Annual Fund
53-0242652,"65,500",Operating  Support/Annual Fund
04-3240183,"52,500",Arts
04-2964630,"30,000",Disaster  Relief
04-3274100,"30,000",Operating  Support/Annual Fund
22-3106689,"32,170",Operating  Support/Annual Fund
11-2368182,"10,000",Operating  Support/Annual Fund
04-3131964,"3,500",Operating  Support/Annual Fund
04-3131964,"40,000",Arts
95-3969029,"50,000",Operating  Support/Annual Fund
04-2104756,"6,223",Operating  Support/Annual Fund
04-2297514,"371,605",Operating  Support/Annual Fund
04-2103612,"11,500",Operating  Support/Annual Fund
04-2103612,"10,000",Scholarship
27-2441203,"77,500",Economic  Development
27-2441203,250,Operating  Support/Annual Fund
23-7225104,"275,000",Endowment
23-7225104,"327,068",Operating  Support/Annual Fund
04-2024022,"14,712",Operating  Support/Annual Fund
04-2593591,"25,000",Arts
04-2593591,"30,000",Operating  Support/Annual Fund
04-2104768,"8,069",Operating  Support/Annual Fund
02-6005625,"265,000",Operating  Support/Annual Fund
94-2607722,"49,906",Operating  Support/Annual Fund
22-1714037,"20,000",Scholarship
46-3642814,"5,750",Operating  Support/Annual Fund
23-7371934,"35,000",Disaster  Relief
46-2202997,"47,500",Operating  Support/Annual Fund
04-3396766,"50,000",Education
04-3396766,"1,300,000",Operating  Support/Annual Fund
20-5806345,"29,500",Operating  Support/Annual Fund
13-1919791,"15,000",Operating  Support/Annual Fund
13-1693134,"50,000",Operating  Support/Annual Fund
13-3573409,"8,000",Operating  Support/Annual Fund
13-3015230,"5,250",Operating  Support/Annual Fund
13-5562308,"2,000",Operating  Support/Annual Fund
13-5562308,"10,000",Scholarship
82-4346598,"10,000",Operating  Support/Annual Fund
46-2940762,"40,000",Economic  Development
04-2104784,"150,000",Endowment
04-2104784,"1,207,000",Operating  Support/Annual Fund
45-3012418,"15,000",Arts
45-5619310,"310,000",Operating  Support/Annual Fund
31-1477594,"25,000",Animal  Welfare
04-2103830,"5,000",Capital  Campaign
04-2103830,"17,056",Operating  Support/Annual Fund
22-2485476,"5,600",Scholarship
04-2257377,"17,500",Operating  Support/Annual Fund
13-2950801,"28,000",Operating  Support/Annual Fund
68-0161455,"16,000",Disaster  Relief
68-0161455,"30,550",Operating  Support/Annual Fund
04-2121317,"10,891",Operating  Support/Annual Fund
20-1287349,"14,935",Operating  Support/Annual Fund
23-7437161,"10,500",Operating  Support/Annual Fund
04-1679980,"6,350",Education
04-1679980,"157,750",Operating  Support/Annual Fund
04-1679980,"2,000",Scholarship
04-2759634,"50,000",Education
22-3458955,"10,000",Operating  Support/Annual Fund
04-2109865,"10,000",Education
04-2109865,"11,000",Operating  Support/Annual Fund
36-2167817,"102,000",Operating  Support/Annual Fund
04-2712823,"163,000",Arts
04-2712823,"5,750",Operating  Support/Annual Fund
20-0234163,"6,000",Operating  Support/Annual Fund
04-2105893,"23,000",Operating  Support/Annual Fund
04-2105893,"1,000",Scholarship
51-0401308,"23,250",Operating  Support/Annual Fund
31-1577478,"10,000",Operating  Support/Annual Fund
04-2104805,"38,000",Operating  Support/Annual Fund
20-8655418,"10,000",Operating  Support/Annual Fund
04-3290689,"66,250",Operating  Support/Annual Fund
81-2956044,"150,000",Operating  Support/Annual Fund
47-4659654,"15,000",Operating  Support/Annual Fund
77-0479205,"41,000",Operating  Support/Annual Fund
56-2369898,"200,000",Operating  Support/Annual Fund
94-3112973,"10,000",Operating  Support/Annual Fund
95-4378084,"100,000",Disaster  Relief
95-4378084,"10,800",Operating  Support/Annual Fund
82-3595539,"25,000",Operating  Support/Annual Fund
23-7364943,"51,000",Operating  Support/Annual Fund
81-3600764,"15,000",Community  Health
82-4321228,"48,000",Operating  Support/Annual Fund
23-7083114,"100,000",Endowment
41-1908341,"8,000",Operating  Support/Annual Fund
31-1782130,"25,000",Operating  Support/Annual Fund
13-5563028,"50,000",Operating  Support/Annual Fund
23-7076021,"10,000",Operating  Support/Annual Fund
45-4998464,"55,000",Operating  Support/Annual Fund
26-0367118,"18,500",Operating  Support/Annual Fund
20-3682307,"8,000",Operating  Support/Annual Fund
46-5712986,"15,000",Human  Services
46-5712986,"8,500",Operating  Support/Annual Fund
23-7069110,"81,675",Operating  Support/Annual Fund
45-5141625,"10,000",Operating  Support/Annual Fund
93-1057665,"10,000",Health  Care
95-1641910,"10,000",Education
04-2746912,"60,000",Operating  Support/Annual Fund
20-4668756,"15,000",Operating  Support/Annual Fund
04-6046569,"6,757",Operating  Support/Annual Fund
04-2104824,"136,000",Operating  Support/Annual Fund
04-3230035,"250,000",Endowment
04-3230035,"125,000",Medical  Research
04-3230035,"33,750",Operating  Support/Annual Fund
04-1564655,"20,000",Capital  Campaign
04-1564655,"2,000",Endowment
04-1564655,"296,500",Medical  Research
04-3567502,"50,000",Capital  Campaign
04-3567502,"225,000",Operating  Support/Annual Fund
47-3948973,"10,000",Operating  Support/Annual Fund
26-0599518,"12,500",Operating  Support/Annual Fund
53-0235320,"5,500",Operating  Support/Annual Fund
04-2694002,"9,500",Operating  Support/Annual Fund
04-3157815,"31,250",Operating  Support/Annual Fund
04-3323467,"6,500",Operating  Support/Annual Fund
58-1966822,"15,000",Operating  Support/Annual Fund
56-2374305,"25,000",Operating  Support/Annual Fund
13-3447888,"20,000",Operating  Support/Annual Fund
94-1186169,"14,250",Operating  Support/Annual Fund
56-0623948,"3,500",Operating  Support/Annual Fund
56-0623948,"3,000",Scholarship
25-1705976,"20,000",Operating  Support/Annual Fund
04-3252955,"125,000",Economic  Development
04-3252955,"150,000",Operating  Support/Annual Fund
04-2103616,500,Education
04-2103616,"85,666",Operating  Support/Annual Fund
04-2453851,"35,000",Operating  Support/Annual Fund
04-2457605,"50,000",Civic  Engagement
04-2457605,"2,500",Education
04-6046123,"12,500",Operating  Support/Annual Fund
04-6046123,"20,000",Youth  Development
02-0222174,"7,000",Operating  Support/Annual Fund
20-4761182,"27,000",Operating  Support/Annual Fund
94-2206497,"10,000",Operating  Support/Annual Fund
04-3411388,"20,000",Youth  Development
04-2104832,"20,376",Operating  Support/Annual Fund
04-2321292,"50,000",Operating  Support/Annual Fund
04-2516093,"50,000",Capital  Campaign
04-2516093,"375,714",Operating  Support/Annual Fund
04-2279977,"5,000",Operating  Support/Annual Fund
04-2279977,"7,500",Scholarship
26-1536108,"15,000",Operating  Support/Annual Fund
22-2632081,"47,900",Operating  Support/Annual Fund
25-0965466,"10,000",Capital  Campaign
25-0965466,"25,000",Disaster  Relief
13-1644147,"165,250",Operating  Support/Annual Fund
04-2698497,"158,800",Operating  Support/Annual Fund
52-1243220,"5,500",Operating  Support/Annual Fund
47-2246042,"15,000",Human  Services
47-2246042,250,Operating  Support/Annual Fund
94-3251867,"75,000",Human  Services
94-3251867,"26,000",Operating  Support/Annual Fund
04-3081873,"10,000",Youth  Development
04-2210750,"150,000",Operating  Support/Annual Fund
46-0544333,"100,000",Operating  Support/Annual Fund
03-0391561,"30,000",Operating  Support/Annual Fund
22-3003501,"40,000",Immigrant  and  Refugee Support
22-3003501,"20,000",Operating  Support/Annual Fund
94-1703155,"8,000",Operating  Support/Annual Fund
45-5086315,"10,000",Operating  Support/Annual Fund
01-0418917,"20,000",Operating  Support/Annual Fund
11-3690799,"100,000",Capital  Campaign
11-3690799,"145,000",Operating  Support/Annual Fund
04-2103580,"2,000",Civic  Engagement
04-2103580,"100,000",Community  Health
04-2103580,150,Education
04-2103580,"250,500",Endowment
04-2103580,"1,494,803",Operating  Support/Annual Fund
04-2103580,"21,250",Scholarship
03-0179298,"2,250",Operating  Support/Annual Fund
03-0179298,"10,000",Scholarship
04-2104847,"15,250",Operating  Support/Annual Fund
27-2952793,"1,805,000",Operating  Support/Annual Fund
46-4621007,"260,000",Operating  Support/Annual Fund
13-4112770,"25,000",Operating  Support/Annual Fund
04-2523362,"5,500",Operating  Support/Annual Fund
43-2116245,"45,000",Operating  Support/Annual Fund
14-2007220,"22,850",Operating  Support/Annual Fund
04-2679358,"9,000",Fund
02-0222179,"20,000",Capital  Campaign
02-0222179,"33,700",Operating  Support/Annual Fund
02-0222179,"5,000",Scholarship
04-2931195,"40,000",Community  Health
04-2931195,"10,000",Emergency  Support
04-2931195,"111,999",Operating  Support/Annual Fund
04-2748880,"17,500",ESOL  Support
04-2748880,"57,500",Operating  Support/Annual Fund
04-3265420,"5,500",Civic  Engagement
04-3265420,"50,000",Housing  and  Shelter
04-3265420,"10,000",Youth  Development
22-2505816,"10,300",Operating  Support/Annual Fund
22-3002275,"7,500",Arts
04-2104852,"30,500",Operating  Support/Annual Fund
04-2104850,"69,093",Operating  Support/Annual Fund
27-2911776,"22,500",Operating  Support/Annual Fund
05-0258932,"10,000",Operating  Support/Annual Fund
11-2594653,"25,000",Operating  Support/Annual Fund
03-0355388,"8,500",Scholarship
01-0556446,"20,000",Human  Services
01-0556446,"8,500",Operating  Support/Annual Fund
04-2391348,"10,000",Emergency  Support
06-0646701,"10,000",Scholarship
04-3477851,"25,000",Operating  Support/Annual Fund
94-3045180,"18,000",Operating  Support/Annual Fund
80-0297898,"55,500",Operating  Support/Annual Fund
22-2854850,"5,250",Operating  Support/Annual Fund
04-3481253,"17,500",Operating  Support/Annual Fund
13-4125884,"25,000",Fund
27-1238513,"25,000",Arts
27-1238513,"20,000",Capital  Campaign
27-1238513,"5,000",Operating  Support/Annual Fund
20-4885236,"18,000",Operating  Support/Annual Fund
27-1378206,"20,000",Operating  Support/Annual Fund
04-3254418,"60,000",Operating  Support/Annual Fund
46-0275071,"6,054",Operating  Support/Annual Fund
04-3430294,"25,000",Operating  Support/Annual Fund
94-3112099,"10,000",Operating  Support/Annual Fund
20-2061482,"23,000",Operating  Support/Annual Fund
38-6006309,"77,000",Fund
04-6364350,"25,000",Operating  Support/Annual Fund
04-2786576,"46,500",Operating  Support/Annual Fund
51-0548106,"36,087",Education
51-0548106,"2,000",Operating  Support/Annual Fund
65-1048184,"10,000",Operating  Support/Annual Fund
47-1882343,"50,000",Economic  Development
47-1882343,"50,500",Operating  Support/Annual Fund
47-1591567,"17,000",Operating  Support/Annual Fund
94-3224127,"25,000",Operating  Support/Annual Fund
04-3462020,"10,000",Operating  Support/Annual Fund
04-2104457,"10,000",Capital  Campaign
04-2104457,"10,000",Operating  Support/Annual Fund
04-2104455,"16,000",Operating  Support/Annual Fund
04-2438444,"20,000",Operating  Support/Annual Fund
47-3343970,"10,000",Operating  Support/Annual Fund
04-2457298,"15,000",Operating  Support/Annual Fund
22-3223641,"88,750",Operating  Support/Annual Fund
94-6002101,"25,000",Scholarship
22-2479696,"45,000",Capital  Campaign
22-2479696,"717,706",Operating  Support/Annual Fund
84-6050523,"10,000",Operating  Support/Annual Fund
74-2244146,"25,000",Operating  Support/Annual Fund
84-1535130,"25,000",Capital  Campaign
04-3329283,"6,250",Operating  Support/Annual Fund
04-3329283,"15,000",Youth  Development
04-2104319,"13,750",Operating  Support/Annual Fund
22-2570218,"15,000",Operating  Support/Annual Fund
22-2570218,"10,000",Scholarship
13-2933654,"50,000",Operating  Support/Annual Fund
13-4012096,"2,500",Human  Services
13-4012096,"225,784",Operating  Support/Annual Fund
20-1678932,"50,000",Arts
20-1678932,"15,250",Operating  Support/Annual Fund
20-5922682,"20,000",Operating  Support/Annual Fund
04-2582187,"15,000",Human  Services
04-2582187,"174,804",Operating  Support/Annual Fund
04-3506648,"25,000",Capital  Campaign
04-3506648,"6,000",Operating  Support/Annual Fund
36-4385559,"15,740",Operating  Support/Annual Fund
22-2527596,"10,000",Operating  Support/Annual Fund
56-1704863,"20,000",Operating  Support/Annual Fund
04-6132391,"15,000",Operating  Support/Annual Fund
22-2486350,"25,000",Operating  Support/Annual Fund
57-1014137,"20,000",Operating  Support/Annual Fund
20-4535835,"15,000",Operating  Support/Annual Fund
22-2519129,"10,000",Housing  and  Shelter
22-2519129,"109,604",Operating  Support/Annual Fund
23-7225987,"7,000",Operating  Support/Annual Fund
13-5562351,"44,876",Operating  Support/Annual Fund
77-6141976,"30,000",Operating  Support/Annual Fund
77-0392953,"10,000",Operating  Support/Annual Fund
95-2104089,"10,000",Operating  Support/Annual Fund
36-3043662,"30,000",Operating  Support/Annual Fund
05-0343046,"75,800",Operating  Support/Annual Fund
06-0726487,"75,438",Disaster  Relief
06-0726487,"3,750",Operating  Support/Annual Fund
65-0789748,"10,000",Operating  Support/Annual Fund
22-3139858,"20,000",Operating  Support/Annual Fund
27-3987854,"167,500",Operating  Support/Annual Fund
20-1020880,"50,000",Operating  Support/Annual Fund
94-3287468,"150,000",Operating  Support/Annual Fund
26-3290355,"10,000",Operating  Support/Annual Fund
14-1892866,"45,000",Operating  Support/Annual Fund
14-1892866,"25,000",Youth  Development
52-1962712,"10,000",Operating  Support/Annual Fund
04-2702102,"50,000",Capital  Campaign
04-2702102,"15,000",Operating  Support/Annual Fund
20-1727977,"150,000",Operating  Support/Annual Fund
22-1539721,"6,088",Operating  Support/Annual Fund
23-7305290,"10,000",Operating  Support/Annual Fund
84-0637820,"25,000",Capital  Campaign
84-0637820,"16,000",Operating  Support/Annual Fund
52-1367538,"49,000",Operating  Support/Annual Fund
47-3296764,"25,000",Youth  Development
27-1493201,"60,000",Operating  Support/Annual Fund
61-1544791,"100,000",Operating  Support/Annual Fund
04-2104926,"15,000",Operating  Support/Annual Fund
36-2193608,"7,000",Operating  Support/Annual Fund
94-6069890,"23,000",Operating  Support/Annual Fund
04-3237106,"252,000",Operating  Support/Annual Fund
04-3575764,"100,000",Operating  Support/Annual Fund
04-3575764,"33,000",Youth  Development
04-2103629,887,Operating  Support/Annual Fund
04-2103629,"513,700",Scholarship
71-0816518,"100,000",Operating  Support/Annual Fund
53-0196617,"50,000",Operating  Support/Annual Fund
04-3573636,"20,000",Operating  Support/Annual Fund
13-4100161,"6,000",Operating  Support/Annual Fund
45-4952663,"1,000",Education
45-4952663,"264,500",Operating  Support/Annual Fund
47-1127201,"51,000",Economic  Development
47-1127201,"11,000",Operating  Support/Annual Fund
04-1843040,"36,500",Operating  Support/Annual Fund
53-0206027,"195,000",Operating  Support/Annual Fund
27-4620963,"100,000",Human  Services
27-4620963,"10,000",Operating  Support/Annual Fund
46-1323531,"13,400",Arts
46-1323531,"3,000",Operating  Support/Annual Fund
47-3923576,"168,250",Operating  Support/Annual Fund
45-4230249,"5,500",Operating  Support/Annual Fund
04-2678255,"112,101",Education
04-2678255,"5,000",Operating  Support/Annual Fund
04-2678255,"15,000",Youth  Development
04-2104937,"28,500",Operating  Support/Annual Fund
04-2103850,"8,400",Operating  Support/Annual Fund
20-4786732,"10,000",Operating  Support/Annual Fund
82-4698211,"15,000",Operating  Support/Annual Fund
04-6001414,"100,000",Education
77-0560115,"30,000",Operating  Support/Annual Fund
04-2456134,"26,000",Operating  Support/Annual Fund
04-2769210,"25,000",Capital  Campaign
04-2769210,"1,250",Operating  Support/Annual Fund
43-2043910,"10,000",Operating  Support/Annual Fund
04-2664574,"25,000",Disaster  Relief
62-1025326,"21,000",Operating  Support/Annual Fund
52-1436778,"10,000",Environment/Wildlife/Agric ulture
52-1436778,"10,000",Operating  Support/Annual Fund
63-0598743,"60,250",Operating  Support/Annual Fund
05-0394224,"10,000",Capital  Campaign
23-7304163,"4,800",Community  Health
23-7304163,250,Operating  Support/Annual Fund
85-0203522,"6,054",Operating  Support/Annual Fund
45-3362785,"10,000",Scholarship
04-2761759,"26,000",Disaster  Relief
04-2551124,"29,155",Operating  Support/Annual Fund
22-3230841,"10,000",Arts
22-3230841,"6,050",Operating  Support/Annual Fund
23-7242294,"25,000",Human  Services
23-7242294,"10,188",Operating  Support/Annual Fund
13-4045245,"150,000",Operating  Support/Annual Fund
23-7037183,"14,000",Operating  Support/Annual Fund
23-7037183,"4,500",Youth  Development
23-7037183,"75,000",Community  Health
45-3719806,"10,000",Operating  Support/Annual Fund
04-3330698,"178,119",Operating  Support/Annual Fund
04-2104156,"1,000",Animal  Welfare
04-3071454,"12,000",Operating  Support/Annual Fund
04-3071454,"1,000",Youth  Development
13-2930684,"12,500",Capital  Campaign
13-2930684,900,Operating  Support/Annual Fund
04-2119394,"10,000",Operating  Support/Annual Fund
04-3067595,"242,500",Operating  Support/Annual Fund
26-1904576,"6,054",Operating  Support/Annual Fund
04-2301019,"6,000",Capital  Campaign
85-0162247,"20,000",Endowment
85-0162247,"10,000",Operating  Support/Annual Fund
85-0162247,"20,000",Scholarship
62-0646012,"25,704",Operating  Support/Annual Fund
81-0244542,"6,054",Operating  Support/Annual Fund
15-0532239,"7,500",Operating  Support/Annual Fund
23-7099149,"20,000",Operating  Support/Annual Fund
04-2103623,"25,250",Operating  Support/Annual Fund
33-0036053,"18,000",Operating  Support/Annual Fund
04-3201844,"25,000",Operating  Support/Annual Fund
65-1110501,"15,000",Operating  Support/Annual Fund
04-2106351,"50,000",Operating  Support/Annual Fund
02-0222227,"14,125",Operating  Support/Annual Fund
06-1645116,"50,000",Capital  Campaign
06-1645116,"12,750",Operating  Support/Annual Fund
42-1552247,"200,000",Capital  Campaign
42-1552247,"30,000",Operating  Support/Annual Fund
04-2104156,"50,000",Capital  Campaign
94-3331587,"15,000",Operating  Support/Annual Fund
52-1957214,"10,000",Operating  Support/Annual Fund
27-0372266,"25,000",Operating  Support/Annual Fund
03-0369897,"10,000",Capital  Campaign
20-5037507,"10,000",Operating  Support/Annual Fund
24-0854667,"50,000",Operating  Support/Annual Fund
04-3086666,"98,633",Education
04-3086666,"138,350",Operating  Support/Annual Fund
47-1641692,"57,500",Operating  Support/Annual Fund
02-0474456,"121,500",Operating  Support/Annual Fund
04-3269143,"50,000",Operating  Support/Annual Fund
26-2672182,"100,000",Operating  Support/Annual Fund
77-0283072,"56,000",Operating  Support/Annual Fund
46-0512638,"994,480",Operating  Support/Annual Fund
46-0512638,"7,207",Medical  Research
04-3551406,"20,000",Operating  Support/Annual Fund
27-1389973,"25,000",Operating  Support/Annual Fund
20-2321377,"40,000",Operating  Support/Annual Fund
46-2090059,"10,000",Operating  Support/Annual Fund
57-1152691,"15,000",Operating  Support/Annual Fund
45-0647583,"25,000",Operating  Support/Annual Fund
04-6049963,"5,278",Operating  Support/Annual Fund
04-2133255,"97,252",Housing  and  Shelter
04-2133255,"8,030",Operating  Support/Annual Fund
68-0200138,"15,500",Operating  Support/Annual Fund
47-2768711,"275,000",Operating  Support/Annual Fund
01-0493897,"20,000",Operating  Support/Annual Fund
01-0493897,"20,000",Scholarship
01-0407276,"25,000",Operating  Support/Annual Fund
22-3041896,"10,250",Operating  Support/Annual Fund
27-0844332,"8,000",Operating  Support/Annual Fund
75-1835298,"50,000",Operating  Support/Annual Fund
20-8195963,"10,000",Operating  Support/Annual Fund
15-0532081,"50,000",Operating  Support/Annual Fund
06-0646921,"325,000",Operating  Support/Annual Fund
30-0696402,"25,000",Operating  Support/Annual Fund
26-4510094,"60,000",Operating  Support/Annual Fund
13-3541913,"282,500",Operating  Support/Annual Fund
26-3849472,"50,000",Education
46-1201810,"10,000",Operating  Support/Annual Fund
45-1837673,"15,000",Youth  Development
20-8629591,"10,500",Operating  Support/Annual Fund
13-2626135,"45,000",Operating  Support/Annual Fund
74-2369040,"10,000",Capital  Campaign
04-6130463,"12,100",Operating  Support/Annual Fund
04-2531339,300,Capital  Campaign
04-2531339,"17,025",Operating  Support/Annual Fund
04-3145322,"12,000",Endowment
04-3145322,"7,862",Operating  Support/Annual Fund
04-3452763,"146,750",Operating  Support/Annual Fund
04-2506944,"26,000",Operating  Support/Annual Fund
47-5100052,"20,000",Operating  Support/Annual Fund
87-0745629,"8,000",Operating  Support/Annual Fund
46-3770718,"12,500",Operating  Support/Annual Fund
23-2706241,"10,000",Operating  Support/Annual Fund
46-4950751,"100,000",Operating  Support/Annual Fund
46-1856641,"325,000",Operating  Support/Annual Fund
46-1856641,"2,000",Civic  Engagement
46-1856641,"100,000",Education
13-3376290,"20,000",Operating  Support/Annual Fund
22-2553560,"9,000",Civic  Engagement
22-2485502,"43,750",Operating  Support/Annual Fund
22-2485502,"110,000",Scholarship
30-0145886,"7,000",Operating  Support/Annual Fund
04-3316013,"28,000",Operating  Support/Annual Fund
31-1720017,"25,000",Operating  Support/Annual Fund
14-1338371,"18,000",Operating  Support/Annual Fund
52-1982223,"100,000",Education
04-3066699,"10,000",Scholarship
58-1320613,"10,000",Operating  Support/Annual Fund
04-2751023,"10,000",Operating  Support/Annual Fund
04-3262532,"80,000",Operating  Support/Annual Fund
04-2104230,"11,500",Operating  Support/Annual Fund
13-3219419,"1,300,000",Operating  Support/Annual Fund
46-0908502,"10,000",Operating  Support/Annual Fund
11-2697261,"20,000",Operating  Support/Annual Fund
04-2104370,"22,500",Capital  Campaign
04-2104370,"82,500",Operating  Support/Annual Fund
04-2104370,"5,500",Scholarship
04-3485146,"8,500",Operating  Support/Annual Fund
26-6780102,"35,000",Operating  Support/Annual Fund
81-1397590,"10,000",Operating  Support/Annual Fund
04-3271457,"100,000",Education
04-3271457,"3,500",Operating  Support/Annual Fund
04-3476160,"50,000",Education
13-3783906,"10,000",Operating  Support/Annual Fund
13-1624100,"10,000",Operating  Support/Annual Fund
52-1314021,"25,000",Operating  Support/Annual Fund
04-2660283,"65,000",Community  Health
13-3584516,"20,000",Operating  Support/Annual Fund
23-7245152,"8,000",Operating  Support/Annual Fund
27-1544896,"25,000",Operating  Support/Annual Fund
94-1156347,"50,000",Operating  Support/Annual Fund
68-0030247,"10,000",Operating  Support/Annual Fund
45-2928042,"10,000",Operating  Support/Annual Fund
04-6151731,"16,000",Operating  Support/Annual Fund
95-2250801,"5,000",Operating  Support/Annual Fund
04-3108190,"100,500",Operating  Support/Annual Fund
52-0880375,"250,000",Operating  Support/Annual Fund
31-1663020,"16,319",Operating  Support/Annual Fund
04-3088140,"35,000",Immigrant  and  Refugee Support
04-3088140,"1,500",Operating  Support/Annual Fund
26-1839249,"9,300",Operating  Support/Annual Fund
27-5410470,"18,000",Operating  Support/Annual Fund
06-1172413,"5,000",Capital  Campaign
06-1172413,"4,000",Operating  Support/Annual Fund
13-1624206,"10,000",Operating  Support/Annual Fund
04-3027900,"12,500",Community  Health
04-3027900,"84,000",Operating  Support/Annual Fund
13-3028214,"34,500",Operating  Support/Annual Fund
94-3213100,"25,000",Capital  Campaign
51-0198509,"104,000",Operating  Support/Annual Fund
05-0450569,"13,000",Operating  Support/Annual Fund
02-0436529,"30,000",Operating  Support/Annual Fund
23-7191992,"10,000",Operating  Support/Annual Fund
13-6401397,"240,000",Capital  Campaign
04-6001082,"10,261",Operating  Support/Annual Fund
04-6001105,"10,000",Operating  Support/Annual Fund
04-6001121,"11,000",Operating  Support/Annual Fund
04-6001202,"10,261",Operating  Support/Annual Fund
04-6001275,"13,687",Operating  Support/Annual Fund
04-6001340,"27,668",Operating  Support/Annual Fund
80-0214659,"15,000",Operating  Support/Annual Fund
80-0214659,"10,000",Youth  Development
77-0099755,"15,000",Operating  Support/Annual Fund
04-2631789,"7,000",Operating  Support/Annual Fund
04-2486905,"10,000",Youth  Development
22-2186872,"61,000",Operating  Support/Annual Fund
04-2736718,"35,000",Community  Development
04-2736718,"22,000",Operating  Support/Annual Fund
04-2736718,"3,000",Youth  Development
91-1161548,"88,750",Operating  Support/Annual Fund
06-0646927,"7,500",Operating  Support/Annual Fund
06-0646927,"10,000",Scholarship
14-1729925,"10,000",Operating  Support/Annual Fund
04-3371176,"14,900",Arts
23-7277812,"6,000",Operating  Support/Annual Fund
81-3796649,"290,000",Operating  Support/Annual Fund
23-7222333,"51,000",Operating  Support/Annual Fund
04-2103547,"16,000",Arts
04-2103547,"10,000",Capital  Campaign
04-2103547,"35,000",Civic  Engagement
04-2103547,"52,500",Education
04-2103547,"55,000",Health  Care
04-2103547,"327,677",Operating  Support/Annual Fund
13-5598093,"10,000",Medical  Research
13-5598093,"9,750",Operating  Support/Annual Fund
02-0222111,"477,144",Operating  Support/Annual Fund
02-0222111,"100,000",Scholarship
04-6130872,"30,000",Operating  Support/Annual Fund
04-2103579,"31,250",Operating  Support/Annual Fund
04-2103579,"43,000",Scholarship
21-0634501,"7,500",Operating  Support/Annual Fund
21-0634501,"200,000",Scholarship
04-2105780,"15,000",Capital  Campaign
04-2105780,"223,222",Operating  Support/Annual Fund
04-2103542,"2,250,000",Endowment
04-2103542,"150,250",Operating  Support/Annual Fund
21-0634503,"25,000",Operating  Support/Annual Fund
04-2104857,"160,000",Operating  Support/Annual Fund
23-1352685,"211,000",Operating  Support/Annual Fund
04-2103634,"25,000",Civic  Engagement
04-2103634,"100,000",Community  Health
04-2103634,"50,000",Education
04-2103634,"80,906",Operating  Support/Annual Fund
04-2261109,"7,000",Civic  Engagement
04-2261109,"10,000",Community  Development
04-2261109,"20,000",Education
04-2261109,"35,000",Human  Services
04-2261109,"207,100",Operating  Support/Annual Fund
04-2261109,"50,000",Youth  Development
04-3400617,"142,531",Operating  Support/Annual Fund
27-0960868,"15,000",Operating  Support/Annual Fund
27-1017104,"10,000",Operating  Support/Annual Fund
27-1440424,"10,000",Arts
46-1314848,"189,060",Operating  Support/Annual Fund
46-1314848,"270,311",Scholarship
31-1705917,"25,000",Operating  Support/Annual Fund
95-2250801,"1,000",Scholarship
31-1488698,"2,000",Capital  Campaign
31-1488698,"5,000",Operating  Support/Annual Fund
47-1136081,"21,500",Community  Development
47-1136081,"43,500",Human  Services
47-1136081,"6,000",Operating  Support/Annual Fund
04-2535767,"38,250",Operating  Support/Annual Fund
13-1782493,"10,000",Operating  Support/Annual Fund
04-2103733,"40,000",Capital  Campaign
04-6186012,"38,715",Operating  Support/Annual Fund
04-2105897,"4,000",Operating  Support/Annual Fund
04-2105897,"15,000",Human  Services
23-7087814,"7,500",Operating  Support/Annual Fund
20-4286082,"10,000",Operating  Support/Annual Fund
04-6136963,"6,000",Operating  Support/Annual Fund
13-1957221,"19,001",Operating  Support/Annual Fund
04-3286118,"3,750",Economic  Development
04-3286118,"10,000",Human  Services
04-3286118,"2,500",Operating  Support/Annual Fund
23-7182195,"25,000",Education
13-1624241,"102,500",Operating  Support/Annual Fund
13-1610451,"15,000",Capital  Campaign
04-2104280,"10,000",Housing  and  Shelter
04-2104280,"3,500",Operating  Support/Annual Fund
52-1662800,"25,000",Immigrant  and  Refugee Support
52-1662800,"1,000",Operating  Support/Annual Fund
30-0224549,"11,000",Operating  Support/Annual Fund
13-1760110,"25,000",Immigrant  and  Refugee Support
13-1760110,"80,404",Operating  Support/Annual Fund
04-2382233,"1,959,614",Operating  Support/Annual Fund
77-0391064,"6,000",Operating  Support/Annual Fund
66-0207156,"20,000",Disaster  Relief
14-1503972,"500,000",Operating  Support/Annual Fund
86-6050388,"5,750",Operating  Support/Annual Fund
59-0974739,"10,000",Operating  Support/Annual Fund
01-6011501,"10,250",Operating  Support/Annual Fund
04-6013152,"266,357",Education
04-6013152,"451,000",Operating  Support/Annual Fund
04-6013152,"17,500",Youth  Development
11-3708851,"15,000",Operating  Support/Annual Fund
25-0965591,"187,500",Medical  Research
13-5562374,"10,000",Operating  Support/Annual Fund
27-2194956,"265,000",Operating  Support/Annual Fund
04-2708670,"17,625",Operating  Support/Annual Fund
23-7211732,"19,000",Health  Care
35-2581424,"355,000",Operating  Support/Annual Fund
04-3403049,"26,000",Fund
45-3961022,"35,000",Economic  Development
45-3961022,"40,500",Operating  Support/Annual Fund
81-4200729,"5,000",Operating  Support/Annual Fund
81-4200729,"7,500",Youth  Development
04-2660311,"9,000",Operating  Support/Annual Fund
45-2295295,"5,000",Capital  Campaign
45-2295295,"5,050",Operating  Support/Annual Fund
